BranchName,ApkVersion,GitName,ResourceConfigs,SignMode,ApkAreaVersion,MileStone,TranslationLabel,ReleaseDate,VersionCode,VersionName,BranchInfo,UploadAota,OfficialRelease,GoldenRelease
acuteag_dev_1.0.1,v1.0.1.0201.d,AcuteagSystemUI,platform,2018-05-26 17:39:46,I180526001,v1.0.1.0201.d_0526         
acuteag_dev_1.0.1,v1.0.1.0201.e,AcuteagSystemUI,platform,2018-05-26 18:20:44,I180526001,v1.0.1.0201.e_0526         
acuteag_dev_1.0.1,v1.0.1.0201.2,AcuteagProvision,platform,2018-05-28 09:40:03,I180526001,v1.0.1.0201.2_0526         
acuteag_dev_1.0.1,v1.0.1.0101.h,AcuteagLauncher,shared,2018-05-28 12:19:16,I180528001,v1.0.1.0101.h_0528         
acuteag_dev_1.0.1,v1.0.1.0101.8,AcuteagDialer,shared,2018-05-28 14:44:13,I180528003,v1.0.1.0101.8_0528         
acuteag_dev_1.0.1,v1.0.1.0101.7,AcuteagContacts,shared,2018-05-28 15:06:04,I180528001,v1.0.1.0101.7_0528         
acuteag_dev_1.0.1,v1.0.1.0101.9,AcuteagDialer,shared,2018-05-28 19:53:07,I180528004,v1.0.1.0101.9_0528         
acuteag_dev_1.0.1,v1.0.1.0201.6,AcuteagSoundRecorder,platform,2018-05-28 20:58:10,I180528001,v1.0.1.0201.6_0528         
acuteag_dev_1.0.1,v1.0.1.0201.g,AcuteagGallery,shared,2018-05-28 21:09:50,I180528001,v1.0.1.0201.g_0528         
acuteag_dev_1.0.1,v1.0.1.0101.i,AcuteagLauncher,shared,2018-05-29 13:54:05,I180529001,v1.0.1.0101.i_0529         
acuteag_dev_1.0.1,v1.0.1.0201.f,AcuteagSystemUI,platform,2018-05-30 14:29:53,I180530001,v1.0.1.0201.f_0530         
acuteag_dev_1.0.1,v1.0.1.0101.g,AcuteagMms,platform,2018-05-30 16:39:28,I180530001,v1.0.1.0101.g_0530         
acuteag_dev_1.0.1,v1.0.1.0202.1,AcuteagSystemUI,platform,2018-05-30 16:40:01,I180530001,v1.0.1.0202.1_0530         
acuteag_dev_1.0.1,v1.0.1.0201.0,AcuteagWallet,acuteag3rd,2018-05-30 17:20:23,I180530002,V1.0.1.0201.0_0530         
